S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NO OF VOTERS (MARGIN),VOTE %,TOTAL NO OF VOTE CASTED,,,,
1,1977,Assam,Karimganj,1,Ananta Kumar Bardhan,M,Independents,N/A,535378,532425,0.6,2953,,,,
2,1977,Assam,Karimganj,1,Radhakanta Tanty,M,Socialist Unity Centre Of India,N/A,535378,529543,1.1,5835,,,,
3,1977,Assam,Karimganj,1,Lilamoy Das,M,Bharatiya Lok Dal,Lotus,535378,438224,18.1,97154,,,,
4,1977,Assam,Karimganj,1,Nihar Ranjan Laskar,M,Indian National Congress,Hand,535378,407924,23.8,127454,,,,
5,1977,Assam,Silchar,2,Noorul Huda,M,Communist Party Of India (Marxist),"Hammer, Sickle & Star",471251,361166,23.4,110085,,,Party Name,Party Symbol
6,1977,Assam,Silchar,2,Rashida Haque Choudhury,F,Indian National Congress,Hand,471251,332613,29.4,138638,,,Indian National Congress ,Hand
7,1977,Assam,Autonomous District,3,Sonaram Thaosen,M,Independents,N/A,227812,196065,13.9,31747,,,Bharatiya Janata Party ,Lotus
8,1977,Assam,Autonomous District,3,Biren Singh Engti,M,Indian National Congress,N/A,227812,165337,27.4,62475,,,Communist Party of India ,Ears of Corn & Sickle
9,1977,Assam,Dhubri,4,Giasuddin Ahmed,M,Independents,N/A,503545,474344,5.8,29201,,,Communist Party of India (Marxist),"Hammer, Sickle & Star"
10,1977,Assam,Dhubri,4,Zahirul Islam,M,Bharatiya Lok Dal,Lotus,503545,352807,29.9,150738,,,Socialist Party,N/A
11,1977,Assam,Dhubri,4,Ahmmad Hossen,M,Indian National Congress,N/A,503545,352217,30.1,151328,,,Praja Socialist Party ,N/A
12,1977,Assam,Kokrajhar,5,Dharanidhar Basumatari,M,Indian National Congress,N/A,550061,406156,26.2,143905,,,Bharatiya Jana Sangh,N/A
13,1977,Assam,Kokrajhar,5,Charan Narzary,M,Independents,N/A,550061,363253,34,186808,,,Janata Party,N/A
14,1977,Assam,Barpeta,6,Biswa Goswami,M,Bharatiya Lok Dal,Lotus,558853,410135,26.6,148718,,,Janata Dal,N/A
